Product Title,Product Price,Product Rating,Product Reviews,Seller Name,Seller Rating,Seller Followers,Seller Products
New Ethnic 4 You Women's and Girls Daily Wear Straight Kurti (Pack OF 4 Piece Kurta),₹521,3.8,2 Reviews,New Ethnic 4 You,"3.8249,346 Ratings","3,517Followers",457Products
Cotton Kurtis For Women with Pocket,₹261,4.2,1852 Reviews,Rimeline Trends,"4.180,215 Ratings","7,467Followers",92Products
Trendy Cotton Kurti Combo Black patta(203) And cream(204),₹490,3.6,765 Reviews,Lanya Fab,"3.617,870 Ratings",386Followers,30Products
GOGAJI DHOBI KURTI,₹249,3.9,863 Reviews,GOGAJI TRADERS,"4.0174,930 Ratings","19,569Followers",13Products
Women's Blue Bandhni Styles Kurti,₹460,4.0,1508 Reviews,Pristino Texarc,"4.09,342 Ratings",992Followers,26Products
cottin straight kurtis,₹328,NA,NA,pari creation,"3.945,803 Ratings",700Followers,44Products
Kurtis,₹284,4.0,153 Reviews,NEHA FAISHION,"3.93,707 Ratings",143Followers,12Products
Anarkali  Kurtis,₹312,4.2,70 Reviews,mola ali enterprises,"4.17,955 Ratings",145Followers,15Products
Womens sanganeri printed kurti,₹340,4.0,22 Reviews,YESU COLLECTION,"3.91,027 Ratings",52Followers,33Products
Women's Printed Crepe Kurtis,₹299,3.6,2158 Reviews,Navya Ethnic Center,"3.887,753 Ratings","1,293Followers",304Products
Shree  fashion's Rayon Anarkali Printed Black Green gold  Kurti for women,₹390,3.9,411 Reviews,KRISHNAM FASHION,"4.022,579 Ratings",444Followers,51Products
Combo Pack 6 Piece CREPE KURTI For Women and Girls,₹837,4.0,6 Reviews,H D Enter,"3.64,736 Ratings",168Followers,"2,533Products"
Mirror Work Gala Booty Kurti With Cotton Inner,₹550,3.8,308 Reviews,Abaan Chikan,"3.84,896 Ratings",547Followers,27Products
TRENDY COTTON KURTA,₹351,3.7,32 Reviews,Bala creations,"3.86,378 Ratings",112Followers,17Products
Nora Stylish Retro Women,₹196,NA,NA,SHREE RAMDEV FAB.,"3.81,286 Ratings",47Followers,57Products
kurti For Women's,₹184,3.8,429 Reviews,Next Stage Art,"3.85,633 Ratings",63Followers,67Products
Women Printed Straight Kurti,₹182,3.7,234 Reviews,BINDIYA DM,"3.759,664 Ratings","1,116Followers",275Products
Women's Black Printed Crepe Kurti,₹295,3.8,2903 Reviews,M/S Deepak Kumar,"3.831,329 Ratings",544Followers,27Products
Women Cotton Solid 3/4th Sleeve V-neck Short Kurta-WHITE,₹296,4.0,154 Reviews,SUDHI KURTIS,"4.01,562 Ratings",51Followers,27Products
Green flower pr Ank 60,₹397,4.3,1 Reviews,Jayesh Creation,3.8199 Ratings,8Followers,13Products
"Casual American Crepe And Rasal Net Round-Neck 3/4 Length Sleeves Black Kurti (45""Inches)",₹174,3.9,279 Reviews,CE Dresses0,"3.9272,746 Ratings","2,643Followers","1,288Products"
Trendy Drishya Kurtis,₹441,3.9,2425 Reviews,SSM Retail,"3.948,129 Ratings","16,523Followers",43Products
Myra stylissh cotton kurti with pant,₹428,3.6,61 Reviews,KAUSHIK_ENTERPRISE,3.6452 Ratings,22Followers,18Products
Cotton Leheriya Print Pink Straight Sleeveless Kurti for Girls,₹191,4.1,15 Reviews,AtoZ Mart4,"4.010,276 Ratings",110Followers,7Products
Aishani Petite Kurtis,₹268,3.6,365 Reviews,Bellissa Fashion,"3.63,849 Ratings",134Followers,91Products
LIBOZA NYRA CUT KURTI FOR WOMEN || ETHNIC WEAR,₹420,NA,NA,AAVA INDIA,--Too few ratings,2Followers,14Products
Women Printed Cotton Blend Straight Kurta  (Green),₹302,3.8,1003 Reviews,HIMANSHI FASHION,"3.913,464 Ratings",357Followers,18Products
Attractive  Women Solid Straight Kurtis,₹260,4.0,265 Reviews,Aarav_NX,"4.05,963 Ratings",117Followers,51Products
New Ethnic 4 You Women's and Girls Daily Wear Straight Kurti (Pack OF 4 Piece Kurta),₹521,3.0,NA,New Ethnic 4 You,"3.8249,346 Ratings","3,517Followers",457Products
Women's Crepe Printed Long Kurti Combo of 2,₹292,3.7,18643 Reviews,Shiv Enter,"3.7460,110 Ratings","4,905Followers",341Products
Alisha Attractive Kurtis,₹512,3.9,363 Reviews,dishi_chikanhandicraft,"3.76,536 Ratings",250Followers,20Products
kurti,₹362,NA,NA,M Fabs,3.5293 Ratings,21Followers,8Products
Kurti,₹260,3.8,71 Reviews,MIEW INTERNATIONAL,3.8712 Ratings,13Followers,6Products
Combo Pack 6 Piece CREPE KURTI For Women and Girls,₹837,3.8,9 Reviews,H D Enter,"3.64,736 Ratings",168Followers,"2,533Products"
Women's Printed   Cotton Kurti,₹301,3.9,7007 Reviews,Rangrasiyatex,"4.0267,539 Ratings","4,399Followers",83Products
Trendy Designer Women Slit Dresses,₹296,3.7,243 Reviews,Madame,"3.970,298 Ratings","5,320Followers",296Products
Women's fancy Platinium crepe Pattern neck Red kurti,₹276,NA,NA,PRUSHTI FASHION,3.737 Ratings,12Followers,58Products
kurti with trouser,₹322,4.0,184 Reviews,BRIGHT FABRICS MRT,"4.01,588 Ratings",26Followers,9Products
GOWN,₹362,4.1,148 Reviews,POOJA FASHION POINT,"4.01,938 Ratings",79Followers,20Products
hippon fancy beautiful crepe a line kurti,₹251,NA,NA,Abhi Creation,"3.720,059 Ratings",382Followers,75Products
ARZU EMB.KURTIS,₹322,4.1,237 Reviews,ARZU,"4.119,619 Ratings","1,254Followers",16Products
Women's Crepe Printed Kurti Combo of 2,₹284,3.8,5135 Reviews,Crepe wali Kurtis,"3.81,017,049 Ratings","12,895Followers",631Products
"woman kurti,,,,,, kurtis",₹236,NA,NA,MEHERBAN TEXTILE,3.7287 Ratings,17Followers,16Products
Hiva Western Collection Women's and Girls Crepe Aline Straight Cut Kurti (Pack Of 2 Kurta),₹295,3.7,148 Reviews,HIVA WESTERN COLLECTION,"3.8203,586 Ratings","2,148Followers",449Products
KANIKA GREEN Aagyeyi Petite Kurtis,₹306,3.8,1408 Reviews,JYOTI CREATION,"3.838,951 Ratings",665Followers,15Products
New Ethnic 4 You Women's and Girls Daily Wear Straight Kurti (Pack OF 4 Piece Kurta),₹521,3.9,3 Reviews,New Ethnic 4 You,"3.8249,346 Ratings","3,517Followers",457Products
Aishani Sensational Kurtis,₹499,3.6,2434 Reviews,Bindas Collection,"3.625,962 Ratings",490Followers,116Products
Style Look Women's Cotton A-Line Kurti,₹187,4.0,69 Reviews,STYLE LOOK,"4.01,210 Ratings",23Followers,5Products
Eternis Fashion Cotton Kurti,₹333,3.7,5 Reviews,FASHION ARENAA,"3.73,012 Ratings",67Followers,176Products
STRIPE KURTIS UNDER 299,₹291,3.9,259 Reviews,VIVIDH CREATIONSS,"3.836,145 Ratings","1,751Followers",215Products
women kurtis,₹374,4.0,539 Reviews,JANKI TEXTILE,"4.040,053 Ratings","1,819Followers",24Products
Aagam Pretty Kurtis,₹507,3.6,427 Reviews,AKSHAYAN CHIKAN,"3.517,502 Ratings",519Followers,136Products
women kurti,"₹1,426",4.7,19 Reviews,Veer Telecom,"4.81,489 Ratings",54Followers,1Product
NAYRA_NAVY BLUE Kurtis,₹464,3.9,1744 Reviews,VANIYA@ ENTERPRISE,"3.812,919 Ratings","25,575Followers",60Products
Women's Casual Wear Straight Kurti (Combo Pack Of 5),₹639,4.1,338 Reviews,Crepe wali Kurtis,"3.81,017,049 Ratings","12,895Followers",631Products
Copper Zari Soft kurtis,₹260,3.7,154 Reviews,MOZAMPUR KHADI UNNAYAN SAMITY,"3.914,804 Ratings",362Followers,36Products
Women Stylish Printed Amrican Crepe Kaftan-Kurtis With Latkan Dori (Pink),₹261,3.9,96 Reviews,Krita Lifestyle,"3.71,217 Ratings",29Followers,27Products
Aagyeyi Alluring Kurtis,₹290,3.6,748 Reviews,VF FASHION,"3.67,046 Ratings",110Followers,53Products
Women's Aline Straight Crepe Regular Fit Kurti (Pack Of 2 Pcs),₹295,3.9,128 Reviews,New Ethnic 4 You,"3.8249,346 Ratings","3,517Followers",457Products
Graceful Women Kurti,₹341,3.8,539 Reviews,SHREEHARI ART,"3.815,325 Ratings",163Followers,15Products
Neelkanth Trends:- Presents latest Designer Kurti For Womens.,₹304,4.2,126 Reviews,neelkanth,"3.93,851 Ratings",137Followers,51Products
Trendy Ethnic Women's Solid Flared Kurtis,₹363,4.0,362 Reviews,Ethicart,"4.03,357 Ratings",134Followers,4Products
Classy Fabulous Women Kurti,₹300,4.2,1885 Reviews,NARAYANMUNI DEV FASHION,"4.115,290 Ratings",326Followers,36Products
Kashvi Drishya Kurtis,₹193,3.7,596 Reviews,ORGENIC CREATION,"3.727,969 Ratings",518Followers,111Products
Stylish Women's Crepe Wine Color Ethnic Motif Printed Straight Kurti,₹184,3.8,870 Reviews,OSWAL INTERNATIONAL,"3.878,773 Ratings","1,542Followers","6,565Products"
Kurtis,₹296,4.1,97 Reviews,Lavanya enterprizes,"4.24,459 Ratings",80Followers,53Products
Trandy Pink Border Printed Anarkali Kurti,₹312,3.9,272 Reviews,PANDRI JI CREATION,"4.06,345 Ratings",133Followers,12Products
Pandora Gown Style long Kurtis,₹261,3.7,276 Reviews,K. C. Fabrics / Pandora,"3.632,674 Ratings","4,279Followers","1,857Products"
Malti  Mint GREEN,₹313,3.9,105 Reviews,ANGEL TEXTILE,"4.04,819 Ratings",85Followers,7Products
Combo kurti for women,₹390,4.1,33 Reviews,THE AWESOME COLLECTION,3.9537 Ratings,16Followers,19Products
Arushi Red God Bless Kurti _RC_04,₹323,4.1,364 Reviews,ARUSHI FASHION,"4.12,395 Ratings",53Followers,30Products
Rayon Printed Treding Anarkali Kurta For Women's,₹305,3.6,253 Reviews,BABITAS FASHIONS,"3.73,950 Ratings",92Followers,127Products
Kurtis,₹191,3.6,36 Reviews,VENUSMARK,"3.63,158 Ratings",64Followers,23Products
crepe kurtis,₹186,3.5,57 Reviews,NAKSH ENTERPRISE SAREES,"3.736,711 Ratings",791Followers,50Products
Banita Attractive Kurtis,₹328,3.6,53 Reviews,LNK Fabrics,"3.81,480 Ratings",39Followers,6Products
Women's Printed Full-Stitched Crepe Straight Kurti(Combo Pack Of 3),₹374,3.9,2363 Reviews,Crepe wali Kurtis,"3.81,017,049 Ratings","12,895Followers",631Products
Royal black,₹312,4.0,104 Reviews,Shri Mahalaxmi creation,"3.92,493 Ratings",82Followers,42Products
Designer Slub Cotton Fully Stitched Half-Sleeve Anarkali Kurti For Women & Girls,₹266,3.9,52 Reviews,SHREEVALI CREATION,"3.91,155 Ratings",18Followers,26Products
PLUS SIZE RAJASTHANI FAMOUS BEAUTIFUL BANDHEJ STRAIGHT KURTI,₹331,4.0,165 Reviews,LEELA EMPORIUM,"3.93,089 Ratings",123Followers,50Products
Anarkali Kurtis for Women and Girls Gold Printed Black,₹399,4.2,721 Reviews,Aj Art,"4.15,913 Ratings",217Followers,19Products
Kashvi Petite Kurtis,₹374,4.0,3101 Reviews,JANKI TEXTILE,"4.040,053 Ratings","1,819Followers",24Products
Kurti trauser  Kurta Set,₹333,4.0,128 Reviews,ms aman creation,"4.01,597 Ratings",52Followers,8Products
printed kurti,₹262,3.9,231 Reviews,AYESHA FAB,"3.812,295 Ratings",189Followers,39Products
Rayon Printed Anarkali Pink Kurti For Women / Girls,₹287,3.7,269 Reviews,JYOTI MENUFACTURING,"3.952,608 Ratings",730Followers,20Products
GEORGETTE KURTI,₹282,4.0,1151 Reviews,firstchoice_creation,"4.08,601 Ratings",266Followers,20Products
WOMEN DESIGNER KURTI,₹273,3.9,83 Reviews,MOZAMPUR KHADI UNNAYAN SAMITY,"3.914,804 Ratings",362Followers,36Products
GC Women's Printed Cotton Kurti,₹317,3.8,3506 Reviews,G Collection,"3.821,925 Ratings",267Followers,43Products
RASHILI KURATI  GREEN,₹251,3.9,1676 Reviews,MEGHACREATION,"3.914,520 Ratings",153Followers,49Products
Stylish Women's Crepe Multicolor Color  Ethnic Motif Printed Straight Kurti,₹181,3.8,232 Reviews,OPPL,"3.8103,468 Ratings","2,733Followers","5,699Products"
GOLD PRINT BORDER KURTI,₹283,3.9,81 Reviews,ARD CREATOR,"3.82,878 Ratings",45Followers,8Products
Charvi Drishya Kurtis,₹221,4.0,147 Reviews,RIYA EXPORTS,"3.91,281 Ratings",30Followers,19Products
LT130 BLACK KURTA,₹383,4.1,115 Reviews,SHREE GARMENTS,"4.05,061 Ratings",72Followers,18Products
Women's Aline Straight Crepe Kurta (Combo Pack Of 2 Kurti),₹295,3.9,189 Reviews,New Ethnic 4 You,"3.8249,346 Ratings","3,517Followers",457Products
Women's Rayon Foil Printed Short A-line Kurtis,₹385,4.0,377 Reviews,Ramakrishna Lehanga & Saree,"3.9130,196 Ratings","1,774Followers","1,917Products"
crepe kurtis,₹140,3.7,6 Reviews,V N SAHAJANAND ENTERPRISE,"3.71,170 Ratings",27Followers,25Products
Women's Daily Wear Straight Cotton Plain Solid Kurti Combo,₹566,3.8,1094 Reviews,SATADHAR,"3.810,029 Ratings",185Followers,70Products
PINK ANARKALI KURTI,₹338,3.9,121 Reviews,Sayonee creations,"3.81,387 Ratings",23Followers,9Products
Chitrarekha Fabulous Kurtis,₹190,3.7,85 Reviews,ORGENIC CREATION,"3.727,969 Ratings",518Followers,111Products
Aakarsha Sensational Kurtis,₹261,4.1,2860 Reviews,GOGAJI TRADERS,"4.0174,930 Ratings","19,569Followers",13Products
Alisha Attractive Kurtis,₹278,4.0,1913 Reviews,GARIMA'S FASHION,"4.011,519 Ratings",197Followers,6Products
Women's Ethnic Wear Multi Color Straight Kurti Pack of 2,₹306,3.8,458 Reviews,NANDA_DHARM,"3.8170,050 Ratings","2,196Followers",205Products
Long Gown Kurty,₹588,3.9,1417 Reviews,SHIV SHAKTI FASHION 2,"3.912,181 Ratings",312Followers,49Products
Trendy Embroidered Partywear Women Kurtis,₹348,3.9,15 Reviews,SHREEVALI CREATION,"3.91,155 Ratings",18Followers,26Products
Kapadia Stylish Embroidered Kurti (Navy Blue Embroidered),₹314,4.0,177 Reviews,K P Manufacturers,"4.06,593 Ratings",355Followers,167Products
KURTIS,₹385,3.9,100 Reviews,ffashion_hub,"3.936,384 Ratings",448Followers,63Products
plain linen kurtis APPLE CUT,₹292,3.9,1040 Reviews,Shiv Enter,"3.7460,110 Ratings","4,905Followers",341Products
New Embroidery Kurti Purple,₹536,4.4,963 Reviews,ANGITA,"4.44,465 Ratings",309Followers,15Products
Stylish Women's Crepe Wine Color Ethnic Motif Printed Straight Kurti,₹180,3.7,382 Reviews,OPPL,"3.8103,468 Ratings","2,733Followers","5,699Products"
WOMEN ANARKALI,₹331,3.9,159 Reviews,RITIKA TRADERS,"3.926,426 Ratings",452Followers,58Products
STYLISH  DEISGNER ANARKALI KURTIS,₹405,4.1,923 Reviews,SANJYA TEXTILE,"4.18,114 Ratings",298Followers,13Products
Eternis Fashion Cotton Kurti,₹283,3.7,51 Reviews,SuhaaniFashion,"3.73,778 Ratings",86Followers,37Products
NMS Cotton Chicken Kurtis,₹302,3.7,345 Reviews,Nida Fashions,"3.932,346 Ratings","1,138Followers",84Products
Aishani Fabulous Kurtis,₹506,3.7,240 Reviews,RIYU FASHION..,"3.710,784 Ratings",303Followers,48Products
kurti,₹405,4.0,826 Reviews,sarte Kurtis,"4.151,431 Ratings","1,342Followers",55Products
WOMEN RAYON PRINTED & EMBROIDERY KURTI,₹338,4.0,77 Reviews,DD TEXTILE,"4.01,897 Ratings",43Followers,20Products
NATEK Plain & Solid Cotton Anarkali Stylish Printed Batik Border Kurti Kurta Dress for Women Ladies Latest Designer Flared Style Round Kurta Top Dresses For Girls,₹271,3.7,158 Reviews,NATEK INTERNATIONAL,"3.72,647 Ratings",35Followers,5Products
Women's Ethnic Straight Kurti,₹185,3.7,681 Reviews,New Ethnic 4 You,"3.8249,346 Ratings","3,517Followers",457Products
Women's Printed Full-Stitched Crepe Straight Kurti(Combo Pack Of 2),₹284,3.7,2887 Reviews,Crepe wali Kurtis,"3.81,017,049 Ratings","12,895Followers",631Products
SVLS COTTON KURTI,₹342,3.7,178 Reviews,SHREE VAIBHAV LAXMI SYNTHETIC,"3.83,001 Ratings",155Followers,97Products
Grey Color Koti Kurti For Women's And Girl,₹198,3.9,199 Reviews,New Ethnic 4 You,"3.8249,346 Ratings","3,517Followers",457Products
Women's Printed Rayon Kurti,₹215,3.7,439 Reviews,DAULAT CREATION,"4.024,648 Ratings",279Followers,52Products
KILLARI Multicolor Printed Kurtis Pack Of 6,₹755,3.9,362 Reviews,BINDIYA DM,"3.759,664 Ratings","1,116Followers",275Products
woman cotton PRINT SLIT flair kurti,₹286,3.9,373 Reviews,Apsara Designers,"3.827,651 Ratings",642Followers,65Products
"womens embroidery long kurta, partywear kurta, festival kurta, embroidery kurta, anarkali kurta",₹331,4.0,101 Reviews,SATVIK FASHION,"4.07,319 Ratings",146Followers,23Products
Women's Cotton short Kurti,₹294,3.9,68 Reviews,MOHINI FASHION,"3.919,153 Ratings",469Followers,83Products
Aagyeyi Ensemble Kurtis,₹588,3.9,300 Reviews,munnki,"3.89,010 Ratings",193Followers,402Products
ARZU embroidered kurta,₹320,4.1,1921 Reviews,ARZU,"4.119,619 Ratings","1,254Followers",16Products
Charvi Petite Kurtis,₹292,3.7,4023 Reviews,Shiv Enter,"3.7460,110 Ratings","4,905Followers",341Products
Jacart  Kurtis,₹499,4.0,485 Reviews,ALANKAR FASHION_,"3.94,067 Ratings",74Followers,35Products
supar kurti,₹198,3.6,387 Reviews,PAGHADI,"3.63,485 Ratings",70Followers,93Products
WOMEN  COTTON KURTI,₹323,4.0,138 Reviews,Craze Fashion,"4.02,721 Ratings",64Followers,13Products
Trendy Drishya Kurtis,₹196,3.8,4378 Reviews,iconfab,"3.830,672 Ratings",585Followers,7Products
Printed Anarkali Kurti for Women Ethnic Wear Crepe Fabric,₹293,3.9,4219 Reviews,trending kurties,"3.832,605 Ratings","1,374Followers",40Products
Alisha Refined Kurtis,₹282,3.7,2042 Reviews,KRIPRARECHI,"3.830,095 Ratings","1,566Followers",12Products
New Koty style cotten Kurti,₹184,3.8,448 Reviews,Gunja fashion,"3.711,866 Ratings","1,345Followers",210Products
Women's Ethnic Straight Crepe Kurti (Combo Pack Of 2),₹268,3.7,11 Reviews,Shree Infinity Export,"4.05,722 Ratings",89Followers,268Products
Women's Crepe A-Line Printed  Gorgeous Stitched Kurtis (Pack of 2 Kurtis),₹281,3.8,2303 Reviews,New Ethnic 4 You,"3.8249,346 Ratings","3,517Followers",457Products
WOMEN'S PRINTED FLORAL PRINT LONG ALINE KURTIS,₹285,3.7,164 Reviews,MOHINI FASHION,"3.919,153 Ratings",469Followers,83Products
Laayna Women's Crepe Printed A-Line Kurti,₹385,4.2,1714 Reviews,ALCC,"4.1108,353 Ratings","2,735Followers",548Products
Printed straight kurti,₹355,4.1,122 Reviews,SHIVAM CREATION,"3.85,268 Ratings",148Followers,16Products
Alisha Pretty Kurtis,₹488,4.0,920 Reviews,self creative,"4.011,043 Ratings",332Followers,9Products
Kashvi Attractive Kurtis,₹359,3.8,303 Reviews,LAXMAN DAS,"3.929,169 Ratings",803Followers,51Products
Aakarsha Superior Kurtis,₹510,4.2,4300 Reviews,J V FASHION,"4.225,876 Ratings",661Followers,7Products
Chitrarekha Alluring Kurtis,₹265,3.5,117 Reviews,KING CHIKANKARI,"3.415,338 Ratings",390Followers,102Products
Trendy Kurti,₹278,4.0,1209 Reviews,LAD CREATIONS,"4.09,850 Ratings",189Followers,14Products
Women Black and white straight kurta,₹328,4.0,180 Reviews,ALYTHEA CLOTHING,"4.237,619 Ratings","1,003Followers",11Products
Women's Printed Rayon Kurti,₹316,4.0,2466 Reviews,KPF,"4.0215,231 Ratings","2,746Followers",96Products
Cotton Embroidery Kurtis,₹270,3.7,401 Reviews,Harikrishna@fashion,"3.64,853 Ratings","3,626Followers",70Products
Trendy Sensational Kurtis,₹193,3.8,56 Reviews,C4A,"3.71,119 Ratings",18Followers,76Products
SHORT KURTI,₹298,3.7,57 Reviews,TIB,3.9974 Ratings,20Followers,7Products
Trendy Fabulous Crepe Straight Kurtis,₹192,3.8,491 Reviews,NS SAVALIYA,"3.940,945 Ratings",788Followers,59Products
Banita Voguish Kurtis,₹351,4.0,3494 Reviews,RAKSH,"3.8191,344 Ratings","2,974Followers",56Products
Banita Alluring Kurtis,₹220,3.9,508 Reviews,SAK Fabrics,"4.0141,078 Ratings","1,855Followers",65Products
Kurti,₹338,3.8,89 Reviews,Fashion Technologies,"3.71,597 Ratings",42Followers,33Products
Aakarsha Ensemble Kurtis,₹381,3.7,102 Reviews,S H R E E J I ENTERPRISE,"3.71,865 Ratings",64Followers,22Products
Stylish Women's Crepe MultiColor Digital Printed Straight Kurti,₹297,3.9,588 Reviews,OPPL,"3.8103,468 Ratings","2,733Followers","5,699Products"
KURTI,₹297,4.0,121 Reviews,NORTH COLLECTION,"3.822,040 Ratings",131Followers,4Products
floral printed Fashionable crepe Kurtis designer Unique below 200 Long Kurta designer kurtis stylish design trendy modern long western casual beautiful modern party wear traditional Office Wear kurti for girls women ladies checks collection branded a-line chikankari kurti fancy Combo palazzo set,₹288,3.5,7 Reviews,INEZAA,"3.75,817 Ratings",90Followers,495Products
"angel kurte , kurti",₹212,3.7,94 Reviews,FIVE STAR TEXTILE,"3.71,055 Ratings",19Followers,25Products
Chitrarekha Alluring Kurtis,₹341,4.0,287 Reviews,Y&O,"4.03,511 Ratings",67Followers,12Products
Women Embroidered Viscose Rayon A-line Kurta,₹352,4.2,38 Reviews,R N EXIM,"4.02,486 Ratings",44Followers,269Products
Women's Crepe A-Line Printed  Gorgeous Stitched Kurtis (Pack of 2 Kurtis),₹295,3.8,2710 Reviews,New Ethnic 4 You,"3.8249,346 Ratings","3,517Followers",457Products
Women's Floral Printed Straight Fit Sleeveless Kurti/Kurta,₹261,4.1,273 Reviews,GOLADA MASTER,"4.12,078 Ratings",32Followers,10Products
Anarkali Kurti with Palazzo for Women,₹385,3.9,715 Reviews,SAJID_FASHION,"3.915,128 Ratings",208Followers,11Products
Kurtiss,₹262,3.6,249 Reviews,RICHAL ENTERPRISE,"3.62,648 Ratings",43Followers,15Products
reyon bandhej printed kurti,₹322,3.7,520 Reviews,JAY_MOGAL_CREATION,"3.83,999 Ratings",174Followers,53Products
WHITE GG Kurtis,₹320,3.8,68 Reviews,JYOTI CREATION,"3.838,951 Ratings",665Followers,15Products
